  alcohol Cu catalyst Base value
alcohol_1       CuBr2  NMI      
alcohol_1       CuBr2  DBU      
alcohol_1       CuCl2  NMI      
alcohol_1       CuCl2  DBU      
alcohol_1    Cu(OTf)2  NMI      
alcohol_1    Cu(OTf)2  DBU      
alcohol_1    Cu(BF4)2  NMI      
alcohol_1    Cu(BF4)2  DBU      
alcohol_2       CuBr2  NMI      
alcohol_2       CuBr2  DBU      
alcohol_2       CuCl2  NMI      
alcohol_2       CuCl2  DBU      
alcohol_2    Cu(OTf)2  NMI      
alcohol_2    Cu(OTf)2  DBU      
alcohol_2    Cu(BF4)2  NMI      
alcohol_2    Cu(BF4)2  DBU      
alcohol_3       CuBr2  NMI      
alcohol_3       CuBr2  DBU      
alcohol_3       CuCl2  NMI      
alcohol_3       CuCl2  DBU      
alcohol_3    Cu(OTf)2  NMI      
alcohol_3    Cu(OTf)2  DBU      
alcohol_3    Cu(BF4)2  NMI      
alcohol_3    Cu(BF4)2  DBU      
alcohol_4       CuBr2  NMI      
alcohol_4       CuBr2  DBU      
alcohol_4       CuCl2  NMI      
alcohol_4       CuCl2  DBU      
alcohol_4    Cu(OTf)2  NMI      
alcohol_4    Cu(OTf)2  DBU      
alcohol_4    Cu(BF4)2  NMI      
alcohol_4    Cu(BF4)2  DBU      
alcohol_5       CuBr2  NMI      
alcohol_5       CuBr2  DBU      
alcohol_5       CuCl2  NMI      
alcohol_5       CuCl2  DBU      
alcohol_5    Cu(OTf)2  NMI      
alcohol_5    Cu(OTf)2  DBU      
alcohol_5    Cu(BF4)2  NMI      
alcohol_5    Cu(BF4)2  DBU      
alcohol_6       CuBr2  NMI      
alcohol_6       CuBr2  DBU      
alcohol_6       CuCl2  NMI      
alcohol_6       CuCl2  DBU      
alcohol_6    Cu(OTf)2  NMI      
alcohol_6    Cu(OTf)2  DBU      
alcohol_6    Cu(BF4)2  NMI      
alcohol_6    Cu(BF4)2  DBU      
